"","X","phrase","category","c2004","c2005","c2006","c2007","c2008","c2009","c2010","c2011","c2012","c2013","c2014","c2015","c2016"
"241","241","rapes   ","n","0","0","0","0","0","0","0","0","0","0","0","0","0"
"242","242","rapist   ","n","0","0","0","0","0","0","0","0","0","0","0","0","0"
"243","243","resent   ","n","0","0","0","0","2","0","0","0","1","0","0","0","0"
"244","244","resents   ","n","0","0","0","0","0","0","0","0","0","0","0","0","0"
"245","245","resented   ","n","0","0","0","0","0","0","0","0","0","0","0","0","0"
"246","246","resenting   ","n","0","0","0","0","0","0","0","0","0","0","0","0","0"
"247","247","resentful   ","n","0","0","0","0","1","0","0","1","1","0","0","0","0"
"248","248","sad   ","n","0","0","0","1","8","8","6","1","5","7","2","3","13"
"249","249","sexist   ","n","0","1","0","0","18","0","0","0","0","0","0","0","0"
"250","250","slut   ","n","0","0","2","0","0","0","0","0","0","0","0","1","0"
"251","251","spite   ","n","0","1","0","0","1","0","0","0","2","0","0","0","1"
"252","252","spiteful   ","n","0","0","0","0","0","0","0","0","3","1","0","0","1"
"253","253","std   ","n","0","0","8","0","0","2","0","0","1","0","0","0","0"
"254","254","stupid   ","n","0","0","2","2","28","9","7","5","12","5","5","2","5"
"255","255","sue   ","n","0","0","0","1","0","0","0","0","1","5","0","1","2"
"256","256","sues   ","n","0","0","0","0","2","0","2","1","3","1","0","0","0"
"257","257","sued   ","n","1","0","1","2","1","0","0","0","0","1","4","4","0"
"258","258","suing   ","n","0","0","1","0","0","0","1","0","0","3","0","1","0"
"259","259","lawsuit   ","n","1","0","1","0","3","1","3","6","3","3","0","1","3"
"260","260","syndrome   ","n","0","0","0","0","14","1","0","0","2","1","21","1","1"
"261","261","tramp   ","n","0","0","0","0","0","0","1","0","0","0","0","0","0"
"262","262","tramps   ","n","0","0","0","0","0","0","0","0","0","0","0","0","0"
"263","263","trash   ","n","0","0","0","0","1","0","0","0","0","0","0","0","7"
"264","264","trashy   ","n","0","0","0","0","4","0","1","1","0","0","0","0","0"
"265","265","trashing   ","n","0","0","0","0","1","0","0","0","0","0","0","0","0"
"266","266","unfit   ","n","0","0","0","0","0","1","1","2","0","0","3","0","1"
"267","267","violent   ","n","0","1","0","2","0","0","0","1","4","2","0","0","0"
"268","268","violence   ","n","0","1","3","3","5","4","1","0","2","5","7","1","1"
"269","269","war   ","n","0","2","0","1","12","0","0","1","0","5","0","2","9"
"270","270","wonderful   ","n","0","0","0","0","4","5","3","0","4","1","0","6","2"
"271","271","black   ","o","5","43","9","6","149","7","25","30","83","78","13","9","16"
"272","272","white   ","o","1","14","2","2","50","6","12","8","21","15","6","4","4"
"273","273","money   ","o","4","3","6","3","17","53","10","10","24","31","12","17","27"
"274","274","dad   ","o","18","1","1","3","6","9","8","10","10","5","2","13","11"
"275","275","daddy   ","o","16","0","1","5","110","23","5","17","14","9","11","8","6"
"276","276","daddies   ","o","0","0","0","0","2","0","0","1","1","1","11","0","0"
"277","277","father   ","o","30","3","8","5","20","29","22","34","27","34","13","20","16"
"278","278","athlete   ","o","0","0","0","3","2","13","0","1","0","3","0","1","0"
"279","279","singer   ","o","0","1","0","2","0","7","1","2","4","4","5","11","18"
"280","280","rapper   ","o","1","1","1","0","6","5","5","3","2","13","6","9","0"
"281","281","celeb   ","o","0","0","2","0","1","1","0","0","2","2","1","0","1"
"282","282","celebs   ","o","0","0","1","0","0","2","0","0","1","5","0","0","6"
"283","283","celebrity   ","o","1","1","1","0","6","3","3","4","1","3","9","12","4"
"284","284","race   ","o","1","0","2","1","58","1","1","1","5","3","4","3","2"
"285","285","racial   ","o","0","1","1","0","20","0","0","2","7","1","1","0","0"
"286","286","ethnic   ","o","0","0","0","0","4","0","0","1","0","0","1","0","0"
"287","287","ethnicity   ","o","0","0","0","0","1","0","0","0","0","0","0","0","0"
"288","288","drug   ","o","1","0","0","1","2","1","0","1","1","0","1","7","8"
"289","289","drugs   ","o","1","0","0","0","1","0","1","1","3","4","2","4","4"
"290","290","alcohol   ","o","0","0","0","0","0","0","0","0","0","0","0","0","3"
"291","291","drunk   ","o","0","0","0","0","0","1","0","0","1","0","0","0","0"
"292","0","NEGATIVES","n","29","93","50","56","523","162","155","108","258","114","111","56","123"
"293","0","POSITIVES","n","98","139","34","64","306","213","193","189","442","151","168","132","228"
