w1,w2,count,p1,p2,joint.prob.nonnorm,joint.prob,expected,disparity,score
email,address,44,0.000453785,0.000279505,1.27E-07,4.96E-07,0.150717276,291.9373357,0.607263474
morning,emails,11,0.000161126,7.23E-05,1.17E-08,4.55E-08,0.013851085,794.1616297,0.60657595
when,you,63,0.002801627,0.010821778,3.03E-05,0.000118468,36.02736515,1.74867076,0.606025762
2015,bossip,45,0.000644506,0.000213739,1.38E-07,5.38E-07,0.163694637,274.9021026,0.604401493
grammy,recap,15,0.000263064,6.58E-05,1.73E-08,6.76E-08,0.020558196,729.6359973,0.60086615
his,own,62,0.006356274,0.00086811,5.52E-06,2.16E-05,6.556933893,9.455639025,0.594082128
do,with,62,0.002541852,0.008704116,2.21E-05,8.65E-05,26.29047662,2.358268392,0.58281734
was,not,62,0.005981408,0.005146181,3.08E-05,0.000120277,36.57733544,1.695038724,0.581764676
what,you,62,0.002982483,0.010821778,3.23E-05,0.000126116,38.35307534,1.616558762,0.581640114
but,she,62,0.004971902,0.007934655,3.95E-05,0.00015415,46.87854646,1.322566604,0.581173497
talks,restraining,15,0.000243334,7.23E-05,1.76E-08,6.88E-08,0.020917965,717.0869752,0.580948621
on,his,62,0.007816276,0.006356274,4.97E-05,0.000194131,59.0372419,1.050184561,0.580741178
vv,brown,15,4.93E-05,0.000358424,1.77E-08,6.91E-08,0.021007907,714.0168781,0.576075831
chris,brown,45,0.000420902,0.000358424,1.51E-07,5.89E-07,0.179267471,251.0215587,0.566498825
temporarily,out,56,0.000187433,0.003127168,5.86E-07,2.29E-06,0.696498839,80.40214408,0.56163107
cancel,reply,17,5.92E-05,0.000358424,2.12E-08,8.29E-08,0.025209488,674.3492738,0.561468216
she,will,61,0.007934655,0.002499104,1.98E-05,7.75E-05,23.56329055,2.58877256,0.559007228
who,is,61,0.002857528,0.011732635,3.35E-05,0.000131002,39.8391117,1.531158638,0.557328607
with,me,61,0.008704116,0.004120233,3.59E-05,0.000140133,42.61574023,1.431395998,0.557170266
over,the,61,0.001262705,0.032968442,4.16E-05,0.000162665,49.46795407,1.233121546,0.556855569
let,me,60,0.000753019,0.004120233,3.10E-06,1.21E-05,3.686816968,16.2742009,0.556552474
i,guess,60,0.014264622,0.000240046,3.42E-06,1.34E-05,4.068903893,14.74598604,0.554126925
take,care,56,0.001016083,0.000690542,7.02E-07,2.74E-06,0.833763345,67.16534172,0.540621911
you,think,60,0.010821778,0.001548787,1.68E-05,6.55E-05,19.91653637,3.01257201,0.535503911
text,messages,12,0.000200586,6.91E-05,1.39E-08,5.41E-08,0.016459406,729.0664142,0.527434233
wanted,to,59,0.000328829,0.02759208,9.07E-06,3.55E-05,10.78148903,5.472342442,0.515232042
father,of,59,0.000858245,0.01604359,1.38E-05,5.38E-05,16.36199854,3.605916468,0.512269692
panther,party,15,5.59E-05,0.000335406,1.87E-08,7.33E-08,0.022279945,673.2512086,0.511373467
of,them,59,0.01604359,0.001275858,2.05E-05,8.00E-05,24.32358404,2.425629377,0.510396366
in,love,59,0.012064753,0.001703337,2.06E-05,8.03E-05,24.4198221,2.416070017,0.510381194
for,your,59,0.008924432,0.004748297,4.24E-05,0.000165581,50.35493744,1.17168252,0.50840613
exclusive,stevie,15,0.000381442,4.93E-05,1.88E-08,7.35E-08,0.022357038,670.9296527,0.507688745
law,allows,11,0.000226892,5.59E-05,1.27E-08,4.96E-08,0.015071728,729.8433392,0.504491389
may,be,58,0.001035813,0.005813705,6.02E-06,2.35E-05,7.155794148,8.105319801,0.495235083
whiteface,music,15,4.93E-05,0.000388019,1.91E-08,7.48E-08,0.022742505,659.5579637,0.489639853
